"COUNTRY","Country","SERIES","Series","PERIOD","Pay period","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"GRC","Greece","PPP","In 2022 constant prices at 2022 USD PPPs","H","Hourly","2021","2021","USD","US Dollar","0","Units",,,6.34072367817691,,
"GRC","Greece","PPP","In 2022 constant prices at 2022 USD PPPs","H","Hourly","2022","2022","USD","US Dollar","0","Units",,,6.2,,
"BEL","Belgium","PPP","In 2022 constant prices at 2022 USD PPPs","H","Hourly","2019","2019","USD","US Dollar","0","Units",,,12.6624429493776,,
"BEL","Belgium","PPP","In 2022 constant prices at 2022 USD PPPs","H","Hourly","2020","2020","USD","US Dollar","0","Units",,,12.695512639127,,
"BEL","Belgium","PPP","In 2022 constant prices at 2022 USD PPPs","H","Hourly","2021","2021","USD","US Dollar","0","Units",,,12.5994109856798,,
"BEL","Belgium","PPP","In 2022 constant prices at 2022 USD PPPs","H","Hourly","2022","2022","USD","US Dollar","0","Units",,,12.6536891097825,,
"PRT","Portugal","PPP","In 2022 constant prices at 2022 USD PPPs","H","Hourly","2019","2019","USD","US Dollar","0","Units",,,6.85846328357968,,
"PRT","Portugal","PPP","In 2022 constant prices at 2022 USD PPPs","H","Hourly","2020","2020","USD","US Dollar","0","Units",,,7.25911662784359,,
"PRT","Portugal","PPP","In 2022 constant prices at 2022 USD PPPs","H","Hourly","2021","2021","USD","US Dollar","0","Units",,,7.50735899302298,,
"PRT","Portugal","PPP","In 2022 constant prices at 2022 USD PPPs","H","Hourly","2022","2022","USD","US Dollar","0","Units",,,7.38084486476837,,
"USA","United States","PPP","In 2022 constant prices at 2022 USD PPPs","H","Hourly","2019","2019","USD","US Dollar","0","Units",,,8.29918479775503,,
"USA","United States","PPP","In 2022 constant prices at 2022 USD PPPs","H","Hourly","2020","2020","USD","US Dollar","0","Units",,,8.19805487205278,,
"USA","United States","PPP","In 2022 constant prices at 2022 USD PPPs","H","Hourly","2021","2021","USD","US Dollar","0","Units",,,7.83020298698772,,
"USA","United States","PPP","In 2022 constant prices at 2022 USD PPPs","H","Hourly","2022","2022","USD","US Dollar","0","Units",,,7.25,,
"DEU","Germany","PPP","In 2022 constant prices at 2022 USD PPPs","H","Hourly","2019","2019","USD","US Dollar","0","Units",,,13.0548246526802,,
"DEU","Germany","PPP","In 2022 constant prices at 2022 USD PPPs","H","Hourly","2020","2020","USD","US Dollar","0","Units",,,13.2628981016807,,
